step,moved_frac
0,0.500000
1,0.500000
2,0.458333
3,0.500000
4,0.500000
5,0.500000
6,0.458333
7,0.458333
8,0.500000
9,0.500000
10,0.500000
11,0.500000
12,0.500000
13,0.458333
14,0.500000
15,0.500000
16,0.458333
17,0.500000
18,0.500000
19,0.500000
20,0.458333
21,0.500000
22,0.500000
23,0.500000
24,0.500000
25,0.500000
26,0.375000
27,0.208333
28,0.125000
29,0.208333
30,0.291667
31,0.166667
32,0.166667
33,0.125000
34,0.041667
35,0.000000
36,0.000000
37,0.000000
38,0.000000
39,0.000000
40,0.000000
41,0.000000
42,0.000000
43,0.000000
44,0.000000
45,0.000000
46,0.000000
47,0.000000
48,0.000000
49,0.000000
